incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0001,DL00221,BatteryAlert,3/11/2024 23:46,Medium,Escalated,12.3
I0002,DL00578,BatteryAlert,2/21/2024 10:56,Low,Open,9.6
I0003,DL00175,TemperatureIssue,4/17/2025 23:22,Medium,Open,22
I0004,DL00417,ProofMissing,2/9/2025 0:16,Medium,Closed,9.8
I0005,DL00897,RouteDeviation,1/4/2025 2:49,Low,Open,13
I0006,DL00634,CustomerNoShow,8/8/2025 21:26,High,PendingVendor,19.9
I0007,DL00495,AppSyncError,5/23/2024 2:29,Low,PendingVendor,4.8
I0008,DL00602,RouteDeviation,8/17/2024 1:27,Medium,Closed,12.1
I0009,DL00636,CustomerNoShow,8/24/2024 22:28,Medium,Closed,15.8
I0010,DL00052,CustomerNoShow,5/6/2025 14:17,Medium,Closed,9.4
I0011,DL00376,CustomerNoShow,9/21/2024 19:17,Medium,Closed,20.4
I0012,DL00366,RouteDeviation,7/24/2025 6:39,Medium,Escalated,18.7
I0013,DL00253,BatteryAlert,9/30/2024 7:49,High,Closed,20.9
I0014,DL00075,VehicleFault,8/6/2024 4:32,High,Open,5
I0015,DL00607,ProofMissing,9/11/2024 17:48,High,Closed,
I0016,DL00724,AppSyncError,10/10/2024 8:26,Low,PendingVendor,18.7
I0017,DL00809,ProofMissing,2/27/2025 0:31,Low,Closed,
I0018,DL00574,AppSyncError,11/8/2025 21:55,High,Closed,10.5
I0019,DL00685,BatteryAlert,2/12/2024 7:05,High,Closed,11.3
I0020,DL00921,TemperatureIssue,1/4/2025 4:14,Critical,Closed,3.3
I0021,DL00186,SafetyNearMiss,1/14/2024 6:44,Medium,Escalated,4.8
I0022,DL00097,BatteryAlert,7/17/2024 1:29,Medium,Escalated,26.8
I0023,DL00904,ProofMissing,8/19/2025 8:30,Medium,Escalated,4.8
I0024,DL00850,ProofMissing,8/30/2025 22:55,Low,Closed,12
I0025,DL00413,BatteryAlert,8/30/2024 2:36,Medium,PendingVendor,5.7
I0026,DL00254,RouteDeviation,12/29/2024 16:12,High,Closed,16.8
I0027,DL00474,VehicleFault,2/25/2025 4:16,Medium,Closed,4.3
I0028,DL00479,RouteDeviation,11/3/2024 4:12,Low,Closed,21.2
I0029,DL00198,VehicleFault,12/8/2024 8:07,Medium,Open,11.8
I0030,DL00448,RouteDeviation,8/30/2024 15:06,Low,Escalated,20.9
I0031,DL00587,ProofMissing,1/12/2024 10:43,Low,Escalated,16.7
I0032,DL00181,VehicleFault,8/26/2024 2:02,Low,Open,11.3
I0033,DL00694,BatteryAlert,3/31/2024 9:38,Medium,Open,4.3
I0034,DL00684,AppSyncError,2/6/2024 14:01,Medium,PendingVendor,23.7
I0035,DL00882,AppSyncError,6/26/2024 15:00,Low,Closed,0.8
I0036,DL00272,VehicleFault,9/2/2025 17:36,Low,Closed,7.8
I0037,DL00938,TemperatureIssue,4/4/2024 6:40,High,Closed,13.3
I0038,DL00032,ProofMissing,1/29/2025 6:31,Medium,Closed,5.2
I0039,DL00208,SafetyNearMiss,4/13/2024 5:39,High,Closed,2.6
I0040,DL00573,ProofMissing,5/8/2024 0:38,Medium,Escalated,8.1
I0041,DL00072,SafetyNearMiss,11/20/2025 7:56,Medium,Closed,17.3
I0042,DL00547,TemperatureIssue,10/7/2025 21:18,Medium,Closed,22.7
I0043,DL00009,AppSyncError,4/12/2024 22:42,Low,Open,20.1
I0044,DL00590,ProofMissing,8/31/2024 6:13,Critical,Closed,3.2
I0045,DL00341,BatteryAlert,11/14/2024 1:36,Medium,Open,12.2
I0046,DL00014,ProofMissing,5/7/2024 14:02,High,PendingVendor,6.9
I0047,DL00919,SafetyNearMiss,12/26/2025 23:23,Medium,Open,23.6
I0048,DL00265,RouteDeviation,6/28/2024 12:42,Low,Closed,2.2
I0049,DL00493,BatteryAlert,8/9/2025 21:45,Medium,Closed,24.3
I0050,DL00207,CustomerNoShow,3/17/2024 1:48,High,Open,20.9
I0051,DL00365,CustomerNoShow,9/5/2025 9:36,Low,PendingVendor,24.8
I0052,DL00690,VehicleFault,12/12/2024 7:51,Medium,Open,21.6
I0053,DL00864,ProofMissing,10/27/2025 18:48,Critical,Escalated,11.9
I0054,DL00324,ProofMissing,8/14/2024 7:43,Low,Closed,17
I0055,DL00633,RouteDeviation,12/11/2024 6:59,High,Open,21.5
I0056,DL00788,VehicleFault,5/7/2025 5:14,Low,PendingVendor,14.5
I0057,DL00766,ProofMissing,1/27/2025 7:52,High,Open,6.7
I0058,DL00285,VehicleFault,6/22/2025 16:15,Low,Open,14.9
I0059,DL00670,VehicleFault,8/30/2024 20:57,High,Closed,15.7
I0060,DL00080,VehicleFault,10/14/2025 11:03,Low,Closed,1
I0061,DL00121,TemperatureIssue,3/14/2024 4:34,Medium,Open,20.1
I0062,DL00481,TemperatureIssue,3/14/2024 18:27,Low,Closed,23.5
I0063,DL00669,RouteDeviation,6/1/2025 6:53,Low,Open,13.3
I0064,DL00366,CustomerNoShow,7/24/2025 5:26,Medium,Closed,18.6
I0065,DL00435,ProofMissing,9/13/2024 19:32,Low,Closed,10.3
I0066,DL00042,RouteDeviation,10/4/2024 2:46,Low,Closed,28
I0067,DL00096,VehicleFault,3/18/2025 18:01,Medium,Closed,2.9
I0068,DL00799,CustomerNoShow,4/25/2024 20:37,Low,Open,16.6
I0069,DL00592,TemperatureIssue,1/19/2024 20:43,Medium,Closed,9
I0070,DL00250,CustomerNoShow,8/27/2024 18:10,Low,Open,9.5
I0071,DL00672,ProofMissing,5/27/2025 14:37,Critical,Closed,8.2
I0072,DL00503,VehicleFault,3/15/2024 1:30,Medium,Closed,1.4
I0073,DL00725,RouteDeviation,11/29/2025 2:34,High,Open,3.2
I0074,DL00256,AppSyncError,1/22/2025 16:01,Medium,PendingVendor,21.7
I0075,DL00568,ProofMissing,11/11/2024 10:10,Low,Closed,4.5
I0076,DL00382,RouteDeviation,12/5/2024 22:19,Medium,Closed,3
I0077,DL00455,ProofMissing,4/12/2024 9:41,Medium,Closed,14.2
I0078,DL00562,BatteryAlert,12/14/2024 13:04,Low,Closed,4.7
I0079,DL00187,ProofMissing,3/5/2024 23:18,High,Open,1.1
I0080,DL00336,ProofMissing,2/21/2025 18:38,Critical,Open,27.8
I0081,DL00224,AppSyncError,1/20/2025 4:36,High,Closed,20.3
I0082,DL00131,BatteryAlert,7/5/2025 13:14,High,Escalated,13
I0083,DL00820,ProofMissing,12/13/2024 20:29,High,PendingVendor,9
I0084,DL00478,TemperatureIssue,1/31/2024 20:03,High,PendingVendor,0
I0085,DL00928,RouteDeviation,10/31/2025 1:01,Low,PendingVendor,6
