delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,delivery_time_hours,customer_id,promised_window_hours,pickup_zone,dropoff_zone,delay_flag,has_complaint,has_incident
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2026-05-14 05:59:54,Failed,17.26,1,0,3.07,12.05,16675.05,C0567,6,Central,Central,True,0.0,1.0
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,,OnTime,10.34,1,0,5.0,13.41,0.0,C0520,2,Riverside,North,False,0.0,0.0
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,,OnTime,7.92,0,0,4.98,8.51,0.0,C0480,2,Central,North,False,0.0,0.0
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,,Delayed,16.42,0,0,4.18,13.62,0.0,C0616,24,South,North,False,0.0,0.0
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,,OnTime,14.52,1,0,4.18,9.22,0.0,C0276,6,Riverside,Riverside,False,0.0,0.0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2026-05-14 11:52:24,Delayed,13.84,0,0,1.57,9.58,14639.21,C0366,24,East,Ctr,True,0.0,0.0
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,,Delayed,32.72,0,0,4.64,17.7,0.0,C0303,24,Airport,Airport,False,0.0,0.0
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2026-05-14 22:21:30,OnTime,7.16,1,0,3.76,11.66,15120.79,C0023,6,Ctr,Riverside,True,0.0,0.0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2026-05-14 18:52:42,OnTime,40.23,1,0,3.7,15.78,18285.33,C0560,6,Airport,Riverside,True,0.0,1.0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2026-05-14 15:29:12,Failed,9.85,1,0,3.2,9.31,5612.34,C0186,6,South,North,True,1.0,0.0
